,Year,Area,Production,Yield,Annual Temp
0,1997,30082643.0,61127362,64.012599383,25.35
1,1998,43724135.0,82832220,88.176504548,25.72
2,1999,40988027.0,83227420,81.999153236,25.57
3,2000,43061434.0,83029329,93.41417598700001,25.53
4,2001,42633509.0,89957788,90.345981084,25.6
5,2002,40743133.29,71462008,88.440383855,25.74
6,2003,43116666.69,87800401,99.95740542,25.61
7,2004,42546933.31,83991554,107.433737978,25.65
8,2005,43406782.11,89398526,106.957489338,25.58
9,2006,43395708.42,92023239,111.712836215,25.72
10,2007,43431956.31,94784521,108.408890853,25.67
11,2008,44887837.49,97084684,109.455329333,25.55
12,2009,41880921.0,88646387,106.481729648,26.05
13,2010,42165993.5,95967054,112.721078023,26.03
14,2011,43591035.74,104768806,122.27775574,25.62
15,2012,50766758.0,107365898,125.866812101,25.6
16,2013,43978180.0,111006699,135.693117829,25.68
17,2014,43685941.0,114320287,139.378789324,25.73
18,2015,42993617.0,101382206,135.961376534,25.92
19,2016,43909738.0,118436405,148.836623181,26.2
20,2017,44379061.2,117685446,157.865937857,26.04
21,2018,45115931.21,118184102,154.882161767,25.9
22,2019,47114882.0,134094409,159.601686109,25.86
23,2020,257251.0,724429,5.656410256,25.78
