State,Lat,Lng
Andhra Pradesh,14.7504291,78.57002559
Arunachal Pradesh,27.10039878,93.61660071
Assam,26.7499809,94.21666744
Bihar,25.78541445,87.4799727
Chhattisgarh,21.295132,81.828232
Delhi,28.6699929,77.23000403
Goa,15.491997,73.81800065
Gujarat,22.309425,72.13623
Haryana,31.10002545,77.16659704
Himachal Pradesh,34.29995933,74.46665849
Jammu and Kashmir,33.277839,75.3412179
Jharkhand,23.6101808,85.2799354
Karnataka,15.317277,75.71389
Kerala,10.850516,76.27108
Madhya Pradesh,21.30039105,76.13001949
Maharashtra,19.25023195,73.16017493
Manipur,24.79997072,93.95001705
Meghalaya,25.57049217,91.8800142
Mizoram,23.71039899,92.72001461
Nagaland,25.6669979,94.11657019
Odisha,19.82042971,85.90001746
Puducherry,11.93499371,79.83000037
Punjab,31.1471305,75.3412179
Sikkim,27.338936,88.606506
Tamil Nadu,27.3333303,88.6166475
Telangana,17.123184,79.208824
Tripura,23.745127,91.746826
Uttar Pradesh,27.59998069,78.05000565
Uttarakhand,30.32040895,78.05000565
West Bengal,22.58039044,88.32994665
